datasetid,doi,status_code,doi_in_crossref
19552,10.1139/f01-071,,
19553,10.1139/f01-071,,
19556,10.1139/f01-071,,
19557,10.1139/f01-071,,
19560,10.1139/f01-071,,
19561,10.1139/f01-071,,
19564,10.1139/f01-071,,
19565,10.1139/f01-071,,
19568,10.1139/f01-071,,
19569,10.1139/f01-071,,
19572,10.1139/f01-071,,
19573,10.1139/f01-071,,
19574,10.1139/f01-071,,
19575,10.1139/f01-071,,
19641,10.1139/f01-071,,
19642,10.1139/f01-071,,
19647,10.1139/f01-071,,
19649,10.1139/f01-071,,
19651,10.1139/f01-071,,
19652,10.1139/f01-071,,
19657,10.1139/f01-071,,
19658,10.1139/f01-071,,
19661,10.1139/f01-071,,
19662,10.1139/f01-071,,
19673,10.1139/f01-071,,
19674,10.1139/f01-071,,
19693,10.1139/f01-071,,
19694,10.1139/f01-071,,
19703,10.1139/f01-071,,
19704,10.1139/f01-071,,
19705,10.1139/f01-071,,
19706,10.1139/f01-071,,
19711,10.1139/f01-071,,
19712,10.1139/f01-071,,
20586,10.1191/0959683604hl717rp,,
20587,10.1191/0959683604hl717rp,,
20189,10.1017/s0033822200034342 ,,
20190,10.1017/s0033822200034342 ,,
20193,10.1017/s0033822200034342 ,,
20038,10.1016/j.revpalbo.2004.10.005,,
20039,10.1016/j.revpalbo.2004.10.005,,
20040,10.1016/j.revpalbo.2004.10.005,,
20041,10.1016/j.revpalbo.2004.10.005,,
20042,10.1016/j.revpalbo.2004.10.005,,
20043,10.1016/j.revpalbo.2004.10.005,,
20044,10.1016/j.revpalbo.2004.10.005,,
20045,10.1016/j.revpalbo.2004.10.005,,
20046,10.1016/j.revpalbo.2004.10.005,,
20047,10.1016/j.revpalbo.2004.10.005,,
20048,10.1016/j.revpalbo.2004.10.005,,
20049,10.1016/j.revpalbo.2004.10.005,,
20050,10.1016/j.revpalbo.2004.10.005,,
21793,10.1016/s0031-0182(98)00105-9 ,,
21794,10.1016/s0031-0182(98)00105-9 ,,
21795,10.1016/s0031-0182(98)00105-9 ,,
21796,10.1016/s0031-0182(98)00105-9 ,,
21797,10.1016/s0031-0182(98)00105-9 ,,
21798,10.1016/s0031-0182(98)00105-9 ,,
46685,10.1016/s0031-0182(02)00709-5,,
46696,10.1016/s0031-0182(02)00709-5,,
21827,10.1016/s0031-0182(01)00322-4,,
21828,10.1016/s0031-0182(01)00322-4,,
41536,10.1016/j.quascirev.2015.08.029,,
41537,10.1016/j.quascirev.2015.08.029,,
3894,10.4000/adlfi.13947 ,,
8895,10.4000/adlfi.13947 ,,
24657,10.4000/adlfi.13947 ,,
24658,10.4000/adlfi.13947 ,,
25298,10.1016/j.revpalbo.2004.09.004  ,,
39173,10.1073/pnas.0408315102,,
39175,10.1073/pnas.0408315102,,
39367,10.1126/science.1067814,,
40857,10.1126/science.1067814,,
40858,10.1126/science.1067814,,
40613,10.1126/science.154.3745.158.a,,
40614,10.1126/science.154.3745.158.a,,
40939,10.1111/j.1365-2699.2012.02770.x,,
40940,10.1111/j.1365-2699.2012.02770.x,,
40940,10.1016/j.crte.2013.03.001,,
40940,10.1016/j.quascirev.2016.09.023.,,
16185,10.2112/08a-0005.1,,
16186,10.2112/08a-0005.1,,
41103,10.2112/08a-0005.1,,
41204,10.1007/s00334-012-0380-0,,
41205,10.1007/s00334-012-0380-0,,
41445,10.1038/ngeo1924,,
41446,10.1038/ngeo1924,,
41457,10.1038/ngeo1924,,
41458,10.1038/ngeo1924,,
42447,10.1007/s00334-015-0545-8,,
42448,10.1007/s00334-015-0545-8,,
42447,10.1177/0959683615594242,,
42448,10.1177/0959683615594242,,
46703,10.1016/j.palaeo.2009.08.008,,
46704,10.1016/j.palaeo.2009.08.008,,
0101000020E610000062105839B4F054C017D9CEF753034440,"Widga, C., S.N. Lengyel, J. Saunders, G. Hodgins, J.D. Walker, and A.D. Wanamaker. 2017. Late Pleistocene proboscidean population dynamics in the North American Midcontinent. Boreas 46(4):772-782. [DOI: 10.1111/bor.12235]",200,True
0101000020E610000062105839B4F054C017D9CEF753034440,"Widga, C., S.N. Lengyel, J. Saunders, G. Hodgins, J.D. Walker, and A.D. Wanamaker. 2017. Late Pleistocene proboscidean population dynamics in the North American Midcontinent. Boreas 46(4):772-782. [DOI: 10.1111/bor.12235]",200,True
0101000020E610000089B5F81400F955C02D095053CB464540,"Widga, C., S.N. Lengyel, J. Saunders, G. Hodgins, J.D. Walker, and A.D. Wanamaker. 2017. Late Pleistocene proboscidean population dynamics in the North American Midcontinent. Boreas 46(4):772-782. [DOI: 10.1111/bor.12235]",200,True
0101000020E610000089B5F81400F955C02D095053CB464540,"Widga, C., S.N. Lengyel, J. Saunders, G. Hodgins, J.D. Walker, and A.D. Wanamaker. 2017. Late Pleistocene proboscidean population dynamics in the North American Midcontinent. Boreas 46(4):772-782. [DOI: 10.1111/bor.12235]",200,True
0101000020E610000043041C4295FA55C039D1AE42CA534540,"Widga, C., S.N. Lengyel, J. Saunders, G. Hodgins, J.D. Walker, and A.D. Wanamaker. 2017. Late Pleistocene proboscidean population dynamics in the North American Midcontinent. Boreas 46(4):772-782. [DOI: 10.1111/bor.12235]",200,True
0101000020E610000043041C4295FA55C039D1AE42CA534540,"Widga, C., S.N. Lengyel, J. Saunders, G. Hodgins, J.D. Walker, and A.D. Wanamaker. 2017. Late Pleistocene proboscidean population dynamics in the North American Midcontinent. Boreas 46(4):772-782. [DOI: 10.1111/bor.12235]",200,True
0101000020E610000087A757CA324854C04F5DF92CCF7B4940,"Widga, C., S.N. Lengyel, J. Saunders, G. Hodgins, J.D. Walker, and A.D. Wanamaker. 2017. Late Pleistocene proboscidean population dynamics in the North American Midcontinent. Boreas 46(4):772-782. [DOI: 10.1111/bor.12235]",200,True
0101000020E610000087A757CA324854C04F5DF92CCF7B4940,"Widga, C., S.N. Lengyel, J. Saunders, G. Hodgins, J.D. Walker, and A.D. Wanamaker. 2017. Late Pleistocene proboscidean population dynamics in the North American Midcontinent. Boreas 46(4):772-782. [DOI: 10.1111/bor.12235]",200,True
0101000020E610000089B5F81400F955C02D095053CB464540,"Fiedel, S.J. 2018. The spore conundrum: Does a dung fungus decline signal humans' arrival in the Eastern United States?. Quaternary International 466:247e255. [DOI: doi.org/10.1016/j.quaint.2015.11.130]",200,True
0101000020E610000089B5F81400F955C02D095053CB464540,"Fiedel, S.J. 2018. The spore conundrum: Does a dung fungus decline signal humans' arrival in the Eastern United States?. Quaternary International 466:247e255. [DOI: doi.org/10.1016/j.quaint.2015.11.130]",200,True
0101000020E610000068AED3484B0356C0DAE1AFC91A514540,"Joyce, D.J. 2006. Chronology and new research on the Schaefer mammoth (? Mammuthus primigenius) site, Kenosha County, Wisconsin, USA,. Quaternary International 142:44-57. [DOI: doi:10.1016/j.quaint.2005.03.004]",200,True
0101000020E610000068AED3484B0356C0DAE1AFC91A514540,"Overstreet, D.F., and M.F. Kolb. 2003. Geoarchaeological contexts for Late Pleistocene archaeological sites with human‐modified woolly mammoth remains in southeastern Wisconsin, USA. Geoarchaeology 18(1):91-114. [DOI: DOI:10.1002/gea.10052]",200,True
0101000020E610000068AED3484B0356C0DAE1AFC91A514540,"Overstreet, D.F., and M.F. Kolb. 2003. Geoarchaeological contexts for Late Pleistocene archaeological sites with human‐modified woolly mammoth remains in southeastern Wisconsin, USA. Geoarchaeology 18(1):91-114. [DOI: DOI:10.1002/gea.10052]",200,True
15691,10.1177/0959683611400199,200,True
15692,10.1177/0959683611400199,200,True
1786,10.1139/b68-190,200,True
8423,10.1139/b68-190,200,True
275,10.2307/1939818,200,True
7929,10.2307/1939818,200,True
1649,10.2307/1935709,200,True
3482,10.2307/1935709,200,True
3483,10.2307/1935709,200,True
203,10.2307/1942485,200,True
16008,10.1130/0016-7606(1975)86<287:VRFTLY>2.0.CO;2,200,True
16009,10.1130/0016-7606(1975)86<287:VRFTLY>2.0.CO;2,200,True
332,10.1016/0033-5894(75)90013-7,200,True
1665,10.1016/0033-5894(75)90013-7,200,True
3047,10.1016/0033-5894(75)90013-7,200,True
10401,10.1016/0033-5894(75)90013-7,200,True
41885,10.1016/0033-5894(75)90013-7,200,True
41886,10.1016/0033-5894(75)90013-7,200,True
41887,10.1016/0033-5894(75)90013-7,200,True
41888,10.1016/0033-5894(75)90013-7,200,True
41889,10.1016/0033-5894(75)90013-7,200,True
41890,10.1016/0033-5894(75)90013-7,200,True
41891,10.1016/0033-5894(75)90013-7,200,True
